"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Kahnle, Tommy",592454,"R","93.4",,,"98.6",,,,,
"Weathers, Ryan",677960,"L","93.4","91.7",,"69.6",,,"26.1","33.3",
"Megill, Trevor",656730,"R","93.4",,,,,"40.5",,,
"Cabrera, Génesis",650893,"L","93.4","92.1","54.9",,"76.9","65",,,
"Richardson, Lyon",680689,"R","93.3","88.8",,"92.8",,"54.8",,,
"Brazobán, Huascar",623211,"R","93.3","91.3","42.7","83.2",,,,,
"Allard, Kolby",663465,"L","93.2","94.4","49.5","99.4",,"95.1",,,
"Santillan, Tony",663574,"R","93.2",,,,,,"30.1",,"38.3"
"Estes, Joey",683155,"R","93.1","93.2",,"98.7",,,"32.8","50.8",
"Suarez, José",660761,"L","93.1","91.2",,"86.1",,,"30.2",,
"Shuster, Jared",694363,"L","93","95.8",,"76.5",,,"24.7",,
"Scherzer, Max",453286,"R","93",,"43.2","99.1",,"66.4","28.5",,
"Tidwell, Blade",694918,"R","93","93.5",,"87.3",,,"34","46.3",
"Ruiz, José",614179,"R","93","90.9",,"90.3",,"45.5",,,
"Okert, Steven",595345,"L","92.8",,,,,,"38.6",,
"Miller, Mason",695243,"R","92.8",,,"90.6",,,"48.4",,
"Hamilton, Ian",641656,"R","92.7","87.5",,,,,"37",,
"Tonkin, Michael",543859,"R","92.7","90.1",,,,,"11.2","44.7",
"Messick, Parker",800048,"L","92.6","87.3",,"77.4",,"57.5","46.4",,
"Burke, Brock",656271,"L","92.6","87.8",,"77.7",,,"45",,
"Sproat, Brandon",687075,"R","92.6","85.5",,"98.2",,"82.7","41.4","49.9",
