"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Julks, Corey",667452,-0.04599708054481434,-0.04599708054481434,0.20912651387099795,-0.2551235944158123,,,,,,96,0,0,0,0,0,96,0,0
"De La Cruz, Elly",682829,-0.05146372488637874,-0.05146372488637874,-2.3696380109098367,0.09134551006877625,2.2268287759546816,,,,,4146,0,0,0,0,4146,0,0,0
"Kreidler, Ryan",668952,-0.054826249051681764,-0.054826249051681764,0.24970143400301154,-0.3045276830546934,,,,,,352,0,0,0,0,0,0,352,0
"Mesa Jr., Victor",683748,-0.06506732199860715,-0.06506732199860715,0.8308405681993758,-0.8959078901979834,,,,,,277,0,0,0,0,0,84,67,126
"Taylor, Samad",669392,-0.06763097826524399,-0.06763097826524399,0.09792385231267815,-0.16555483057792214,,,,,,60,0,0,0,0,0,0,9,51
"Vilade, Ryan",668723,-0.07387787504046191,-0.07387787504046191,-0.1741200403294464,0.10024216528898439,,,,,,102,0,0,0,0,0,15,0,87
"Tromp, Chadwick",644433,-0.07859823071891475,,,,,-0.07859823071891475,0.22361820877344507,-0.3870333901577022,0.08481695066534202,166,166,0,0,0,0,0,0,0
"Navarreto, Brian",640459,-0.0812659044492999,,,,,-0.0812659044492999,0.5543597111861736,-0.5979294214025158,-0.037696194232957274,108,108,0,0,0,0,0,0,0
"Johnson, Daniel",669288,-0.10273759503481869,-0.10273759503481869,0.5739707454493304,-0.676708340484149,,,,,,395,0,0,0,0,0,84,206,105
"Vázquez, Christian",543877,-0.1288555935063095,,,,,-0.1288555935063095,-2.702970672876697,1.2121305302654624,1.361984549104925,1557,1557,0,0,0,0,0,0,0
"Halpin, Petey",690984,-0.1660507272682623,-0.1660507272682623,-0.02813495435769554,-0.13791577291056678,,,,,,45,0,0,0,0,0,3,42,0
"Nuñez, Dom",624513,-0.16668768745397644,,,,,-0.16668768745397644,-0.022900453585578785,-0.29265988339505095,0.14887264952665352,51,51,0,0,0,0,0,0,0
"Tolbert, Tyler",686475,-0.1772315471205633,-0.1772315471205633,-0.4295232704813354,0.2592865966679142,-0.006994873307141692,,,,,507,0,0,33,30,24,90,300,30
"Chaparro, Andrés",665953,-0.1865777864280716,-0.1865777864280716,-0.04921046452725478,,-0.13736732190081682,,,,,447,0,447,0,0,0,0,0,0
"Alexander, CJ",680769,-0.1912052542992824,-0.1912052542992824,0.3934182741921518,-0.35184408102813003,-0.23277944746330426,,,,,111,0,48,0,42,0,9,0,12
"Ford, Harry",695670,-0.19578200577132132,,,,,-0.19578200577132132,-0.19014740605854222,,-0.005634599712779124,42,42,0,0,0,0,0,0,0
"Winker, Jesse",608385,-0.19642368332347726,-0.19642368332347726,0.005400000000000005,-0.20182368332347728,,,,,,15,0,0,0,0,0,15,0,0
"Barger, Addison",680718,-0.20107904646722508,-0.20107904646722508,-3.637864944359968,3.963042023031832,-0.5262561251390921,,,,,3079,0,0,0,1840,0,0,0,1239
